en,fr,es,it
"Quand tu as un badge à me présenter, scanne-le pour aller chercher un de mes \c[2]Pokemon\c[0] et cela me fera automatiquement une copie !\nlJ'aime la technologie.","Quand tu as un badge à me présenter, scanne-le pour aller chercher un de mes \c[2]Pokemon\c[0] et cela me fera automatiquement une copie !\nlJ'aime la technologie.","Quand tu as un badge à me présenter, scanne-le pour aller chercher un de mes \c[2]Pokemon\c[0] et cela me fera automatiquement une copie !\nlJ'aime la technologie.","Quand tu as un badge à me présenter, scanne-le pour aller chercher un de mes \c[2]Pokemon\c[0] et cela me fera automatiquement une copie !\nlJ'aime la technologie."
:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r]
:[align=center]:\s[i]Scanne des badges en cours[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Scanne des badges en cours[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Scanne des badges en cours[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r],:[align=center]:\s[i]Scanne des badges en cours[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]
Copie du Badge Roche en combat simple de l'arène de Bouillabaisse-sur-Mer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Roche en combat simple de l'arène de Bouillabaisse-sur-Mer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Roche en combat simple de l'arène de Bouillabaisse-sur-Mer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Roche en combat simple de l'arène de Bouillabaisse-sur-Mer[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10],Copie du Badge Cascade en combat simple de l'arène de Tartatin[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]
:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r],:[align=center]:\s[i]Accès autorisé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r],:[align=center]:\s[i]Accès refusé\s[r]
:[align=center]:\s[i]Que du bio ! C'est décidément un homme saint.\s[r],:[align=center]:\s[i]Que du bio ! C'est décidément un homme saint.\s[r],:[align=center]:\s[i]Que du bio ! C'est décidément un homme saint.\s[r],:[align=center]:\s[i]Que du bio ! C'est décidément un homme saint.\s[r]
"Allez, va choisir ton \c[2]Pokemon\c[0] !\nlJe t'attends pour prendre le thé.","Allez, va choisir ton \c[2]Pokemon\c[0] !\nlJe t'attends pour prendre le thé.","Allez, va choisir ton \c[2]Pokemon\c[0] !\nlJe t'attends pour prendre le thé.","Allez, va choisir ton \c[2]Pokemon\c[0] !\nlJe t'attends pour prendre le thé."
:[align=center]:\s[i]Je ne vais quand même pas faire les poubelles !\s[r],:[align=center]:\s[i]Je ne vais quand même pas faire les poubelles !\s[r],:[align=center]:\s[i]Je ne vais quand même pas faire les poubelles !\s[r],:[align=center]:\s[i]Je ne vais quand même pas faire les poubelles !\s[r]
